name,price,property_type,bedrooms,bathrooms,sqm,year_built,features,city,governorate,address,description
Maspero mall,"17,886,000 ج م","تجاري, مبنى البيع بالتجزئة / مول",0,0,117.0,2023,"['أخرى', 'أمن 24 ساعة', 'الكهرباء متاحة']",Cairo,Cairo,Building MM Floor Ground floor Unit MMRTG24B Maspero mall Cairo Cairo Cairo Egypt,يُعد ماسبيرو مول وجهة فريدة لتجارب التسوق ونمط الحياة في قلب القاهرة. يقع في مثلث ماسبيرو، ويُعتبر أيقونة في وسط المدينة، حيث يقدّم تجارب تسوق لا تُنسى، ومأكولات شهية، ومجموعة متنوعة من وسائل الترفيه التي تضمن لك قضاء أوقات ممتعة.واستنادًا إلى إرث يمتد لآلاف السنين، يسعى ماسبيرو مول إلى تدشين عصر جديد من التجارب العصرية التي تهدف إلى إبهار الأجيال القادمة
Zahya,"17,536,000 ج م","سكني, فيلا",3,2,600.2,2024,"['اللوبي', 'أمن 24 ساعة', 'الكهرباء متاحة']",Mansoura,Dakahlia,Building ZH3M71 Unit ZH3M71 Zahya Mansoura (m) Dakahlia Egypt,"بصفتنا شركة عقارية رائدة تُعنى ببناء مشروع سكني في مدينة المنصورة الجديدة، نتطلع بشوق إلى رؤية المستقبل بمشروعٍ مُزدهرٍ في قلب العاصمة الجديدة الواعدة للدلتا. ومع وعدٍ بمستقبلٍ جديدٍ زاخرٍ بالتطورات التكنولوجية، وفرصٍ تجاريةٍ وتجاريةٍ وتجزئة، سيُسهم مشروع ""زاهية"" في تعزيز وضوح رؤية هذه المدينة الجديدة من خلال توفير منازل تُوفر لسكانها تجاربَ معيشيةً متكاملة."
Zahya,"22,024,000 ج م","سكني, فيلا",3,0,891.0,2024,"['اللوبي', 'أمن 24 ساعة', 'الكهرباء متاحة']",Mansoura,Dakahlia,Building ZH1C69 Floor Ground floor Unit ZH1C69 Zahya Mansoura (m) Dakahlia Egypt,"بصفتنا شركة عقارية رائدة تُعنى ببناء مشروع سكني في مدينة المنصورة الجديدة، نتطلع بشوق إلى رؤية المستقبل بمشروعٍ مُزدهرٍ في قلب العاصمة الجديدة الواعدة للدلتا. ومع وعدٍ بمستقبلٍ جديدٍ زاخرٍ بالتطورات التكنولوجية، وفرصٍ تجاريةٍ وتجاريةٍ وتجزئة، سيُسهم مشروع ""زاهية"" في تعزيز وضوح رؤية هذه المدينة الجديدة من خلال توفير منازل تُوفر لسكانها تجاربَ معيشيةً متكاملة."
Zahya,"10,249,000 ج م","سكني, توين هاوس",3,0,350.5,2024,"['اللوبي', 'أمن 24 ساعة', 'الكهرباء متاحة']",Mansoura,Dakahlia,Building ZHM219 Floor Ground floor Unit ZHM219B Zahya Mansoura (m) Dakahlia Egypt,"بصفتنا شركة عقارية رائدة تُعنى ببناء مشروع سكني في مدينة المنصورة الجديدة، نتطلع بشوق إلى رؤية المستقبل بمشروعٍ مُزدهرٍ في قلب العاصمة الجديدة الواعدة للدلتا. ومع وعدٍ بمستقبلٍ جديدٍ زاخرٍ بالتطورات التكنولوجية، وفرصٍ تجاريةٍ وتجاريةٍ وتجزئة، سيُسهم مشروع ""زاهية"" في تعزيز وضوح رؤية هذه المدينة الجديدة من خلال توفير منازل تُوفر لسكانها تجاربَ معيشيةً متكاملة."
Zahya,"17,478,000 ج م","سكني, فيلا",3,2,600.2,2024,"['اللوبي', 'أمن 24 ساعة', 'الكهرباء متاحة']",Mansoura,Dakahlia,Building ZH3M72 Unit ZH3M72 Zahya Mansoura (m) Dakahlia Egypt,"بصفتنا شركة عقارية رائدة تُعنى ببناء مشروع سكني في مدينة المنصورة الجديدة، نتطلع بشوق إلى رؤية المستقبل بمشروعٍ مُزدهرٍ في قلب العاصمة الجديدة الواعدة للدلتا. ومع وعدٍ بمستقبلٍ جديدٍ زاخرٍ بالتطورات التكنولوجية، وفرصٍ تجاريةٍ وتجاريةٍ وتجزئة، سيُسهم مشروع ""زاهية"" في تعزيز وضوح رؤية هذه المدينة الجديدة من خلال توفير منازل تُوفر لسكانها تجاربَ معيشيةً متكاملة."
Zahya,"9,850,000 ج م","سكني, توين هاوس",3,0,308.0,2024,"['اللوبي', 'أمن 24 ساعة', 'الكهرباء متاحة']",Mansoura,Dakahlia,Building ZHC226 Floor Ground floor Unit ZHC226B Zahya Mansoura (m) Dakahlia Egypt,"بصفتنا شركة عقارية رائدة تُعنى ببناء مشروع سكني في مدينة المنصورة الجديدة، نتطلع بشوق إلى رؤية المستقبل بمشروعٍ مُزدهرٍ في قلب العاصمة الجديدة الواعدة للدلتا. ومع وعدٍ بمستقبلٍ جديدٍ زاخرٍ بالتطورات التكنولوجية، وفرصٍ تجاريةٍ وتجاريةٍ وتجزئة، سيُسهم مشروع ""زاهية"" في تعزيز وضوح رؤية هذه المدينة الجديدة من خلال توفير منازل تُوفر لسكانها تجاربَ معيشيةً متكاملة."
Zahya,"18,389,000 ج م","سكني, فيلا",3,2,746.5,2024,"['اللوبي', 'أمن 24 ساعة', 'الكهرباء متاحة']",Mansoura,Dakahlia,Building ZH3M106 Unit ZH3M106 Zahya Mansoura (m) Dakahlia Egypt,"بصفتنا شركة عقارية رائدة تُعنى ببناء مشروع سكني في مدينة المنصورة الجديدة، نتطلع بشوق إلى رؤية المستقبل بمشروعٍ مُزدهرٍ في قلب العاصمة الجديدة الواعدة للدلتا. ومع وعدٍ بمستقبلٍ جديدٍ زاخرٍ بالتطورات التكنولوجية، وفرصٍ تجاريةٍ وتجاريةٍ وتجزئة، سيُسهم مشروع ""زاهية"" في تعزيز وضوح رؤية هذه المدينة الجديدة من خلال توفير منازل تُوفر لسكانها تجاربَ معيشيةً متكاملة."
Zahya,"10,197,000 ج م","سكني, توين هاوس",3,0,410.0,2024,"['اللوبي', 'أمن 24 ساعة', 'الكهرباء متاحة']",Mansoura,Dakahlia,Building ZH3M211 Unit ZH3M211A Zahya Mansoura (m) Dakahlia Egypt,"بصفتنا شركة عقارية رائدة تُعنى ببناء مشروع سكني في مدينة المنصورة الجديدة، نتطلع بشوق إلى رؤية المستقبل بمشروعٍ مُزدهرٍ في قلب العاصمة الجديدة الواعدة للدلتا. ومع وعدٍ بمستقبلٍ جديدٍ زاخرٍ بالتطورات التكنولوجية، وفرصٍ تجاريةٍ وتجاريةٍ وتجزئة، سيُسهم مشروع ""زاهية"" في تعزيز وضوح رؤية هذه المدينة الجديدة من خلال توفير منازل تُوفر لسكانها تجاربَ معيشيةً متكاملة."
Zahya,"9,962,000 ج م","سكني, تاون هاوس",3,0,392.0,2024,"['اللوبي', 'أمن 24 ساعة', 'الكهرباء متاحة']",Mansoura,Dakahlia,Building ZH3M239 Unit ZH3M239A Zahya Mansoura (m) Dakahlia Egypt,"بصفتنا شركة عقارية رائدة تُعنى ببناء مشروع سكني في مدينة المنصورة الجديدة، نتطلع بشوق إلى رؤية المستقبل بمشروعٍ مُزدهرٍ في قلب العاصمة الجديدة الواعدة للدلتا. ومع وعدٍ بمستقبلٍ جديدٍ زاخرٍ بالتطورات التكنولوجية، وفرصٍ تجاريةٍ وتجاريةٍ وتجزئة، سيُسهم مشروع ""زاهية"" في تعزيز وضوح رؤية هذه المدينة الجديدة من خلال توفير منازل تُوفر لسكانها تجاربَ معيشيةً متكاملة."
Zahya,"10,612,000 ج م","سكني, توين هاوس",3,0,410.0,2024,"['اللوبي', 'أمن 24 ساعة', 'الكهرباء متاحة']",Mansoura,Dakahlia,Building ZH3M217 Unit ZH3M217B Zahya Mansoura (m) Dakahlia Egypt,"بصفتنا شركة عقارية رائدة تُعنى ببناء مشروع سكني في مدينة المنصورة الجديدة، نتطلع بشوق إلى رؤية المستقبل بمشروعٍ مُزدهرٍ في قلب العاصمة الجديدة الواعدة للدلتا. ومع وعدٍ بمستقبلٍ جديدٍ زاخرٍ بالتطورات التكنولوجية، وفرصٍ تجاريةٍ وتجاريةٍ وتجزئة، سيُسهم مشروع ""زاهية"" في تعزيز وضوح رؤية هذه المدينة الجديدة من خلال توفير منازل تُوفر لسكانها تجاربَ معيشيةً متكاملة."
