name,sqm,year_built,Price(EGP),Price/Sqm,has_main_facilities,has_security_features,has_parking_safety,has_building_facilities,has_other_features,HighFloor,LowFloor,MidFloor,FloorNumber,BuildingNumber,UnitNumber,has_modern,has_facilities,has_green_view,has_water_feature,Bedroom_0,Bedroom_1,Bedroom_2,Bedroom_3,Bedroom_above 3,Bathroom_0,Bathroom_1,Bathroom_2,Bathroom_above 2,city_Cairo,city_Mansoura,city_Mersa Matruh,city_New Administrative Capital,city_New Cairo,city_North Coast,city_Old Cairo,governorate_Alexandria,governorate_Cairo,governorate_Dakahlia,governorate_Matrouh,propertyCategory_Commercial,propertyCategory_Residential,propertySubType_Apartment (Residential - Multi-Story Units),propertySubType_Office,propertySubType_Others(very rare),propertySubType_Residential - Attached Houses,propertySubType_Retail,Is sqm outlier,Is Price/Sqm outlier,Is Price(EGP) outlier,Is BuildingNumber outlier,Is FloorNumber outlier,Is UnitNumber outlier,log(sqm),log(price),log(price/sqm)
Alamain (Latin District),92.86,2025,6594000,71010.1228,1,1,0,0,1,0,0,1,6,4,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.531092982591776,15.701670702613814,11.170577720508541
Beachfront Tower - B1,398.0,2025,66104000,166090.4523,0,0,0,0,1,1,0,0,9,1,1091,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,True,True,True,False,False,False,5.986452005284438,18.006739817363158,12.020287812311686
PODIA,93.0,2025,12824000,137892.4731,0,1,1,0,1,1,0,0,13,7,1304,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,False,False,True,False,4.532599493153256,16.366828973271527,11.834229479985707
Mazarine Apartment,252.0,2025,12857000,51019.8413,1,1,0,0,0,0,0,1,3,15,1531,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.529429087511423,16.369398968066385,10.83996988114608
Alamain (Latin District),209.42,2025,8721000,41643.587,1,1,0,0,1,0,1,0,1,1,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.344341804859316,15.981244468209123,10.636902662150403
Latin City,139.0,2025,6688000,48115.1079,0,1,0,0,1,0,1,0,1,3,302107,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,4.9344739331306915,15.715825433746675,10.781351500331892
Downtown commercial,272.0,2025,32696000,120205.8824,1,1,0,0,1,0,1,0,0,8,815,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False,True,True,False,False,False,5.605802066295998,17.30276330422625,11.696961238321737
Beachfront Tower - B1,221.0,2025,28507000,128990.9502,0,0,0,0,1,1,0,0,16,1,1172,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,True,True,False,True,False,5.3981627015177525,17.165660229115776,11.767497527394566
Downtown commercial,319.0,2025,36428000,114194.3574,1,1,0,0,1,0,1,0,0,8,813,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False,True,True,False,False,False,5.765191102784844,17.410848267669845,11.645657165175987
Downtown Extension,173.0,2022,8368000,48369.9422,1,1,0,1,1,0,0,1,3,11,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.153291594497779,15.93992546528684,10.786633870860763
